Index,Name,MapFile,MapObject,MapEffect,MapAttribute,PosFile,Camera_Near_Distance,Camera_Far_Distance,Camera_Height,Camera_MinAngle,Camera_MaxAngle,DefaultZoom,Default_H_Angle,Default_V_Angle,Reflect_Height,Roof_Height,OnedayTime(Min),EnvironmentFile,EnvironmentMap,Clip_Far,Preloading,Cull_Base,Cull_Plant,Cull_Tree,Cull_Rock,Cull_Building,Cull_BuildingExtra,Cull_Effect,MipMapEnable,MipMapBias,PcStore,PeaceZone,wChaoticDecrease,dwChaoticDecreasePeriod,Map_Type,IsPortal,IsPvP,IsSiege,IsReturnScroll,IsWarFog,MoveSpeedFactor,IS_DUNGEON,LoadatServer,MapPath,MonsterLocatePath,NPCLocatePath,BrickLocatePath,StartX,StartY,StartDirection,RetMapIndex,RetX,RetY,RetDirection,IsReturn,IsNotIncreaseChao,MonsterRespawnFactor,ScriptName,PARTYDUNGEON,SOLODUNGEON,DUNGEONSCRIPTNAME,LIMITLEVELMIN,LIMITLEVELMAX,DESTORYTIME,REQUETADVPOINT,REQUETDIL,KickTo_Map,KickTo_X,KickTo_Y,KickTo_DIR,IsSiegeSeal,IsVehicle,IsFindAuto,IsOrnament,IsGuildObserver,MonsterLimit,StrLevelCapPath,FOV,IsPet
0,Braiken Castle,braiken.map,braiken.mol,braiken.mel,braiken.mac,Map\00_Braiken_Castle\NPC_00_Braiken_Castle.csv,2,18,1.7,-70,80,12,50,50,-2.3,0,90,light_braiken.txt,water/skyCube=.dds,75,braiken.pre,60,17,10,15,0,20,5,1,-0.5,1,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\00_Braiken_Castle\m000.mal,..\Share\Map\00_Braiken_Castle\MON_00_Braiken_Castle.csv,..\Share\Map\00_Braiken_Castle\NPC_00_Braiken_Castle.csv,,0,0,0,0,0,0,0,0,0,100,Map0_Braiken,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
1,North Ares,ares_n.map,ares_n.mol,ares_n.mel,ares_n.mac,Map\01_North_Ares\NPC_01_North_Ares.csv,2,18,1.7,-70,80,12,50,50,-1,0,90,light_ares.txt,water/skyCube=.dds,75,ares_n.pre,60,17,10,15,0,20,10,1,-0.5,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\01_North_Ares\m001.mal,..\Share\Map\01_North_Ares\MON_01_North_Ares.csv,..\Share\Map\01_North_Ares\NPC_01_North_Ares.csv,,0,0,0,0,0,0,0,0,0,100,Map01_North_Ares,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
2,Den of Norak,norak.map,norak.mol,norak.mel,norak.mac,Map\02_Norak\NPC_02_Norak.csv,3.5,20,1,10,88,12,50,50,0.5,0,90,light_norak.txt,water/skyCube_no=.dds,75,norak.pre,58,17,10,15,0,20,15,1,-0.5,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\02_Norak\m002.mal,..\Share\Map\02_Norak\MON_02_Norak.csv,..\Share\Map\02_Norak\NPC_02_Norak.csv,,0,0,0,0,0,0,0,0,0,100,Map02_Norak,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
3,Denebe,deneb.map,deneb.mol,deneb.mel,deneb.mac,Map\03_Deneb\NPC_03_Deneb.csv,2,18,1.7,-70,80,12,50,50,-1.5,0,90,light_deneb.txt,water/skyCube_de=.dds,75,deneb.pre,60,17,10,15,0,20,10,1,-0.5,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\03_Deneb\m003.mal,..\Share\Map\03_Deneb\MON_03_Deneb.csv,..\Share\Map\03_Deneb\NPC_03_Deneb.csv,,0,0,0,0,0,0,0,0,0,100,Map03_Deneb,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
5,Heiharp,haihaff.map,haihaff.mol,haihaff.mel,haihaff.mac,Map\05_Haihaff\NPC_05_Haihaff.csv,2,18,1.7,-70,80,12,50,50,-1,0,90,light_haihaff.txt,water/skyCube_hai=.dds,75,haihaff.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\05_Haihaff\m005.mal,..\Share\Map\05_Haihaff\MON_05_Haihaff.csv,..\Share\Map\05_Haihaff\NPC_05_Haihaff.csv,,0,0,0,0,0,0,0,0,0,100,Map05_Haihaff,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
6,Parca Temple,parca.map,parca.mol,parca.mel,parca.mac,Map\06_Parca_Temple\NPC_06_Parca_Temple.csv,3.5,20,1,10,63,12,50,50,-1.3,0,90,light_parck.txt,water/skyCube_hai=.dds,75,parca.pre,68,17,10,15,0,20,15,0,0,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\06_Parca_Temple\m006.mal,..\Share\Map\06_Parca_Temple\MON_06_Parca_Temple.csv,..\Share\Map\06_Parca_Temple\NPC_06_Parca_Temple.csv,,0,0,0,0,0,0,0,0,0,100,Map06_Parca,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
7,Loa Castle,loa.map,loa.mol,loa.mel,loa.mac,Map\07_Loa_Castle\NPC_07_Loa_Castle.csv,2,18,1.7,-70,80,12,50,50,-1.5,0,90,light_loa.txt,water/skyCube_dri=.dds,75,loa.pre,60,17,10,15,0,20,5,1,-0.5,1,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\07_Loa_Castle\m007.mal,..\Share\Map\07_Loa_Castle\MON_07_Loa_Castle.csv,..\Share\Map\07_Loa_Castle\NPC_07_Loa_Castle.csv,,0,0,0,0,0,0,0,0,0,100,Map07_Loa,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
8,North Morte,morte_n.map,morte_n.mol,morte_n.mel,morte_n.mac,Map\08_North_Morte\NPC_08_North_Morte.csv,2,18,1.7,-70,80,12,50,50,1,0,90,light_morte.txt,water/skyCube=.dds,75,morte_n.pre,60,17,10,15,0,20,10,1,-0.5,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\08_North_Morte\m008.mal,..\Share\Map\08_North_Morte\MON_08_North_Morte.csv,..\Share\Map\08_North_Morte\NPC_08_North_Morte.csv,..\Share\Map\08_North_Morte\BRICK_08_North_Morte.csv,0,0,0,0,0,0,0,0,0,100,Map08_North_Morte,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
10,Castor Cave,castor.map,castor.mol,castor.mel,castor.mac,Map\10_Castor_Dungeon\NPC_10_Castor_Dungeon.csv,3.5,20,1,10,88,12,50,50,-2,0,90,light_castor.txt,water/skyCube_no=.dds,75,castor.pre,60,17,10,15,0,20,15,1,-0.5,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\10_Castor_Dungeon\m010.mal,..\Share\Map\10_Castor_Dungeon\MON_10_Castor_Dungeon.csv,..\Share\Map\10_Castor_Dungeon\NPC_10_Castor_Dungeon.csv,,0,0,0,0,0,0,0,0,0,100,Map10_Castor,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
11,Frozen Valley of Vegeance,crevasse.map,crevasse.mol,crevasse.mel,crevasse.mac,Map\11_Crevasse\NPC_11_Crevasse.csv,2,18,1.7,-70,80,12,50,50,1,0,90,light_haihaff.txt,water/skyCube_hai=.dds,75,crevasse.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\11_Crevasse\m011.mal,..\Share\Map\11_Crevasse\MON_11_Crevasse.csv,..\Share\Map\11_Crevasse\NPC_11_Crevasse.csv,,0,0,0,0,0,0,0,0,0,100,Map11_Crevasse,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
