Index,Level Cap Start,Level Cap End,Exp Rate,Chaotic Rate,BLOCKING,BLOCKED,Color_R,Color_G,Color_B
1,24,170,50,0,1,1,255,51,0
2,21,24,60,0,1,1,255,51,0
3,18,21,70,0,1,1,255,51,0
4,15,18,80,0,1,1,255,51,0
5,12,15,85,0,1,1,255,51,0
6,9,12,90,0,1,1,255,51,0
7,6,9,95,0,1,1,255,51,0
8,3,6,100,100,1,1,255,51,0
9,0,3,100,100,1,1,255,255,255
10,-6,0,100,100,1,1,255,255,255
11,-8,-6,100,0,1,1,255,255,255
12,-10,-8,85,0,1,1,0,255,0
13,-12,-10,70,0,1,1,0,255,0
14,-15,-12,60,0,1,0,0,255,0
15,-18,-15,50,0,0,0,0,255,0
16,-21,-18,40,0,0,0,0,255,0
17,-24,-21,30,0,0,0,0,255,0
18,-170,-24,20,0,0,0,0,255,0
