Index,Level Cap Start,Level Cap End,Exp Rate,Chaotic Rate,BLOCKING,BLOCKED,Color_R,Color_G,Color_B
1,30,170,35,0,1,1,255,51,0
2,20,30,45,0,1,1,255,51,0
3,15,20,65,0,1,1,255,51,0
4,10,15,75,0,1,1,255,51,0
5,7,10,85,0,1,1,255,51,0
6,4,7,90,100,1,1,255,51,0
7,0,4,100,100,1,1,255,255,255
8,-1,0,95,100,1,1,255,255,255
9,-2,-1,90,0,1,1,255,255,255
10,-3,-2,85,0,1,1,255,255,255
11,-4,-3,80,0,1,1,255,255,255
12,-5,-4,75,0,1,0,255,255,255
13,-6,-5,70,0,0,0,0,255,0
14,-7,-6,65,0,0,0,0,255,0
15,-8,-7,60,0,0,0,0,255,0
16,-9,-8,55,0,0,0,0,255,0
17,-10,-9,50,0,0,0,0,255,0
18,-11,-10,45,0,0,0,0,255,0
19,-12,-11,40,0,0,0,0,255,0
20,-13,-12,35,0,0,0,0,255,0
21,-14,-13,30,0,0,0,0,255,0
22,-15,-14,25,0,0,0,0,255,0
23,-16,-15,20,0,0,0,0,255,0
24,-17,-16,15,0,0,0,0,255,0
25,-170,-17,10,0,0,0,0,255,0
