Index,Level Cap Start,Level Cap End,Exp Rate,Chaotic Rate,BLOCKING,BLOCKED,Color_R,Color_G,Color_B
1,24,170,25,0,1,1,255,51,0
2,20,24,35,0,1,1,255,51,0
3,17,20,45,0,1,1,255,51,0
4,14,17,55,0,1,1,255,51,0
5,11,14,60,0,1,1,255,51,0
6,8,11,65,0,1,1,255,51,0
7,5,8,70,0,1,1,255,51,0
8,3,5,75,100,1,1,255,51,0
9,0,3,100,100,1,1,255,51,0
10,-7,0,100,100,1,1,255,51,0
11,-10,-7,85,0,1,1,255,51,0
12,-12,-10,70,0,1,1,255,51,0
13,-15,-12,60,0,1,1,255,51,0
14,-18,-15,50,0,1,0,255,51,0
15,-21,-18,40,0,0,0,255,51,0
16,-24,-21,30,0,0,0,255,51,0
17,-170,-24,20,0,0,0,255,51,0
