QuestIndex,973,,,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6
1,1,0,0,0,0,0,0,0
100,100,0,0,0,0,0,0,0
110,110,0,0,0,0,0,0,0
200,200,0,0,0,0,0,0,0
201,201,0,0,0,0,0,0,0
210,210,0,0,0,0,0,0,0
211,211,0,0,0,0,0,0,0
220,220,0,0,0,0,0,0,0
221,221,0,0,0,0,0,0,0
1000,1000,0,0,0,0,0,0,0
1100,1100,0,0,0,0,0,0,0
10000,10000,10001,0,0,0,0,0,0
10001,10001,0,0,0,0,0,0,0
10010,10010,0,0,0,0,0,0,0
11000,11000,0,0,0,0,0,0,0
20000,20000,20001,20002,20003,20004,20005,20006,20007
20001,20001,0,0,0,0,0,0,0
20002,20002,0,0,0,0,0,0,0
20003,20003,0,0,0,0,0,0,0
20004,20004,0,0,0,0,0,0,0
20005,20005,0,0,0,0,0,0,0
20006,20006,0,0,0,0,0,0,0
20007,20007,0,0,0,0,0,0,0
21000,21000,21001,21002,21003,0,0,0,0
21001,21001,0,0,0,0,0,0,0
21002,21002,0,0,0,0,0,0,0
21003,21003,0,0,0,0,0,0,0
22000,22000,22001,22002,0,0,0,0,0
22001,22001,0,0,0,0,0,0,0
22002,22002,0,0,0,0,0,0,0
23000,23000,23001,23002,0,0,0,0,0
23001,23001,0,0,0,0,0,0,0
23002,23002,0,0,0,0,0,0,0
24000,24000,24001,0,0,0,0,0,0
24001,24001,0,0,0,0,0,0,0
25000,25000,25001,0,0,0,0,0,0
25001,25001,0,0,0,0,0,0,0
99,99,0,0,0,0,0,0,0
