QuestIndex,1072,,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4,Menu5
100,100,0,0,0,0,0,0
110,110,0,0,0,0,0,0
200,200,0,0,0,0,0,0
201,201,0,0,0,0,0,0
1000,1000,0,0,0,0,0,0
1001,1001,0,0,0,0,0,0
1100,1100,0,0,0,0,0,0
10000,10000,10001,10002,0,0,0,0
10001,10001,0,0,0,0,0,0
10002,10002,0,0,0,0,0,0
10010,10010,0,0,0,0,0,0
10020,10020,0,0,0,0,0,0
11000,11000,0,0,0,0,0,0
12000,12000,0,0,0,0,0,0
20000,20000,20001,20002,20003,20004,20005,20006
20001,20001,0,0,0,0,0,0
20002,20002,0,0,0,0,0,0
20003,20003,0,0,0,0,0,0
20004,20004,0,0,0,0,0,0
20005,20005,0,0,0,0,0,0
20006,20006,0,0,0,0,0,0
99,99,0,0,0,0,0,0
