QuestIndex,1271,,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4,Menu5
1,1,0,0,0,0,0,0
99,99,0,0,0,0,0,0
10000,10000,10001,10002,10003,10004,10005,10006
10001,10001,0,0,0,0,0,0
10002,10002,0,0,0,0,0,0
10003,10003,0,0,0,0,0,0
10004,10004,0,0,0,0,0,0
10005,10005,0,0,0,0,0,0
10006,10006,0,0,0,0,0,0
10010,10010,10011,0,0,0,0,0
10020,10020,10011,0,0,0,0,0
10030,10030,10011,0,0,0,0,0
10040,10040,10011,0,0,0,0,0
10050,10050,10011,0,0,0,0,0
10060,10060,10011,0,0,0,0,0
10011,10011,0,0,0,0,0,0
