QuestIndex,15611,,,,,,,

MessageIndex,StringCode,Menu0,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6
1,1,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0
1100,1100,0,0,0,0,0,0,0
10000,10000,10002,10003,10004,10005,10006,10007,0
10002,10002,12000,0,0,0,0,0,0
10003,10003,13000,0,0,0,0,0,0
10004,10004,14000,0,0,0,0,0,0
10005,10005,15000,0,0,0,0,0,0
10006,10006,16000,0,0,0,0,0,0
10007,10007,17000,0,0,0,0,0,0
12000,12000,12001,12002,12003,12004,0,0,0
12001,12001,12100,0,0,0,0,0,0
12002,12002,12200,0,0,0,0,0,0
12003,12003,12300,0,0,0,0,0,0
12004,12004,10000,0,0,0,0,0,0
12100,12100,12101,12102,0,0,0,0,0
12101,12101,0,0,0,0,0,0,0
12102,12102,0,0,0,0,0,0,0
12200,12200,12201,12202,0,0,0,0,0
12201,12201,0,0,0,0,0,0,0
12202,12202,0,0,0,0,0,0,0
12300,12300,12301,12302,0,0,0,0,0
12301,12301,0,0,0,0,0,0,0
12302,12302,0,0,0,0,0,0,0
12500,12500,0,0,0,0,0,0,0
13000,13000,13001,13002,13003,13004,0,0,0
13001,13001,13100,0,0,0,0,0,0
13002,13002,13200,0,0,0,0,0,0
13003,13003,13300,0,0,0,0,0,0
13004,13004,10000,0,0,0,0,0,0
13100,13100,13101,13102,0,0,0,0,0
13101,13101,0,0,0,0,0,0,0
13102,13102,0,0,0,0,0,0,0
13200,13200,13201,13202,0,0,0,0,0
13201,13201,0,0,0,0,0,0,0
13202,13202,0,0,0,0,0,0,0
13300,13300,13301,13302,0,0,0,0,0
13301,13301,0,0,0,0,0,0,0
13302,13302,0,0,0,0,0,0,0
13500,13500,0,0,0,0,0,0,0
14000,14000,14001,14002,14003,14004,0,0,0
14001,14001,14100,0,0,0,0,0,0
14002,14002,14200,0,0,0,0,0,0
14003,14003,14300,0,0,0,0,0,0
14004,14004,10000,0,0,0,0,0,0
14100,14100,14101,14102,0,0,0,0,0
14101,14101,0,0,0,0,0,0,0
14102,14102,0,0,0,0,0,0,0
14200,14200,14201,14202,0,0,0,0,0
14201,14201,0,0,0,0,0,0,0
14202,14202,0,0,0,0,0,0,0
14300,14300,14301,14302,0,0,0,0,0
14301,14301,0,0,0,0,0,0,0
14302,14302,0,0,0,0,0,0,0
14500,14500,0,0,0,0,0,0,0
15000,15000,15001,15002,15003,15004,0,0,0
15001,15001,15100,0,0,0,0,0,0
15002,15002,15200,0,0,0,0,0,0
15003,15003,15300,0,0,0,0,0,0
15004,15004,10000,0,0,0,0,0,0
15100,15100,15101,15102,0,0,0,0,0
15101,15101,0,0,0,0,0,0,0
15102,15102,0,0,0,0,0,0,0
15200,15200,15201,15202,0,0,0,0,0
15201,15201,0,0,0,0,0,0,0
15202,15202,0,0,0,0,0,0,0
15300,15300,15301,15302,0,0,0,0,0
15301,15301,0,0,0,0,0,0,0
15302,15302,0,0,0,0,0,0,0
15500,15500,0,0,0,0,0,0,0
16000,16000,16001,16002,16003,16004,0,0,0
16001,16001,16100,0,0,0,0,0,0
16002,16002,16200,0,0,0,0,0,0
16003,16003,16300,0,0,0,0,0,0
16004,16004,10000,0,0,0,0,0,0
16100,16100,16101,16102,0,0,0,0,0
16101,16101,0,0,0,0,0,0,0
16102,16102,0,0,0,0,0,0,0
16200,16200,16201,16202,0,0,0,0,0
16201,16201,0,0,0,0,0,0,0
16202,16202,0,0,0,0,0,0,0
16300,16300,16301,16302,0,0,0,0,0
16301,16301,0,0,0,0,0,0,0
16302,16302,0,0,0,0,0,0,0
16500,16500,0,0,0,0,0,0,0
17000,17000,17001,17002,17003,17004,0,0,0
17001,17001,17100,0,0,0,0,0,0
17002,17002,17200,0,0,0,0,0,0
17003,17003,17300,0,0,0,0,0,0
17004,17004,10000,0,0,0,0,0,0
17100,17100,17101,17102,0,0,0,0,0
17101,17101,0,0,0,0,0,0,0
17102,17102,0,0,0,0,0,0,0
17200,17200,17201,17202,0,0,0,0,0
17201,17201,0,0,0,0,0,0,0
17202,17202,0,0,0,0,0,0,0
17300,17300,17301,17302,0,0,0,0,0
17301,17301,0,0,0,0,0,0,0
17302,17302,0,0,0,0,0,0,0
17500,17500,0,0,0,0,0,0,0
20000,20000,0,0,0,0,0,0,0
21000,21000,0,0,0,0,0,0,0
22000,22000,0,0,0,0,0,0,0
30000,30000,0,0,0,0,0,0,0
