QuestIndex,ParentIndex,QuestTitleCode,QuestBookCode,QuestDiaryCode
10,10,1,2,13
11,10,11,12,13
12,10,11,12,13
13,10,11,12,13
14,10,11,12,13
40,40,1,2,13
41,40,11,12,13
42,40,11,12,13
43,40,11,12,13
44,40,11,12,13
50,50,1,2,13
51,50,11,12,13
52,50,11,12,13
53,50,11,12,13
60,60,1,2,13
61,60,11,12,13
62,60,11,12,13
63,60,11,12,13
70,70,1,2,13
71,70,11,12,13
80,80,1,2,13
81,80,11,12,13
90,90,1,2,13
91,90,11,12,13
92,90,11,12,13
100,100,1,2,13
101,100,11,12,13
102,100,11,12,13
110,110,1,2,13
111,110,11,12,13
112,110,11,12,13
113,110,11,12,13
120,120,1,2,13
121,120,11,12,13
130,130,1,2,13
140,140,1,2,13
141,140,11,12,13
142,140,11,12,13
150,150,1,2,13
151,150,11,12,13
160,160,1,2,13
161,160,11,12,13
162,160,11,12,13
163,160,11,12,13
164,160,11,12,13
165,160,11,12,13
170,170,1,2,13
171,170,11,12,13
172,170,11,12,13
173,170,11,12,13
174,170,11,12,13
180,180,1,2,13
181,180,11,12,13
182,180,11,12,13
190,190,1,2,13
191,190,11,12,13
200,200,1,2,13
201,200,11,12,13
202,200,11,12,13
203,200,11,12,13
204,200,11,12,13
205,205,1,0,13
206,205,11,12,13
207,205,11,12,13
208,205,11,12,13
209,205,11,12,13
210,210,1,2,13
211,210,11,12,13
220,220,1,2,13
221,220,11,12,13
222,220,11,12,13
223,220,11,12,13
230,230,1,2,13
231,230,11,12,13
240,240,1,2,13
241,240,11,12,13
242,240,11,12,13
243,240,11,12,13
244,240,11,12,13
250,250,1,2,13
251,250,11,12,13
252,250,11,12,13
253,250,11,12,13
254,250,11,12,13
260,260,1,2,13
261,260,11,12,13
270,270,1,2,13
271,270,11,12,13
280,280,1,2,13
281,280,11,12,13
290,290,1,2,13
291,290,11,12,13
300,300,1,2,13
301,300,11,12,13
310,310,1,2,13
311,310,11,12,13
320,320,1,2,13
321,320,11,12,13
322,320,11,12,13
323,320,11,12,13
324,320,11,12,13
330,330,1,2,13
331,330,11,12,13
332,330,11,12,13
333,330,11,12,13
334,330,11,12,13
340,340,1,2,13
341,340,11,12,13
342,340,11,12,13
343,340,11,12,13
344,340,11,12,13
350,350,1,2,13
351,350,11,12,13
352,350,11,12,13
353,350,11,12,13
354,350,11,12,13
360,360,1,2,13
361,360,11,12,13
362,360,11,12,13
363,360,11,12,13
364,360,11,12,13
370,370,1,2,13
371,370,11,12,13
372,370,11,12,13
373,370,11,12,13
374,370,11,12,13
380,380,1,0,13
381,380,11,0,13
390,390,1,0,13
391,390,11,0,13
400,400,1,0,13
401,400,11,0,13
410,410,1,0,13
411,410,11,0,13
420,420,1,0,13
421,420,11,0,13
430,430,1,0,13
431,430,11,0,13
440,440,1,2,13
