Npc_Number,1,2,3,4,5,6,7
Index_Count,0,6,6,2,2,1,1
Quest_Index1,0,5131,7331,9321,9241,9351,5151
Quest_Index2,0,7261,7341,9331,9341,0,0
Quest_Index3,0,7351,9211,0,0,0,0
Quest_Index4,0,7281,9311,0,0,0,0
Quest_Index5,0,7311,9221,0,0,0,0
Quest_Index6,0,7321,9021,0,0,0,0
Quest_Index7,0,0,0,0,0,0,0
Quest_Index8,0,0,0,0,0,0,0
Quest_Index9,0,0,0,0,0,0,0
Quest_Index10,0,0,0,0,0,0,0
Quest_Index11,0,0,0,0,0,0,0
Quest_Index12,0,0,0,0,0,0,0
Quest_Index13,0,0,0,0,0,0,0
Quest_Index14,0,0,0,0,0,0,0
Quest_Index15,0,0,0,0,0,0,0
