Count,23,
Index,Monster,NPC
0,..\Map\00_Braiken_Castle\MON_00_Braiken_Castle.csv,..\Map\00_Braiken_Castle\NPC_00_Braiken_Castle.csv
1,..\Map\01_North_Ares\MON_01_North_Ares.csv,..\Map\01_North_Ares\NPC_01_North_Ares.csv
2,..\Map\02_Norak\MON_02_Norak.csv,..\Map\02_Norak\NPC_02_Norak.csv
3,..\Map\03_Deneb\MON_03_Deneb.csv,..\Map\03_Deneb\NPC_03_Deneb.csv
5,..\Map\05_Haihaff\MON_05_Haihaff.csv,..\Map\05_Haihaff\NPC_05_Haihaff.csv
6,..\Map\06_Parca_Temple\MON_06_Parca_Temple.csv,..\Map\06_Parca_Temple\NPC_06_Parca_Temple.csv
7,..\Map\07_Loa_Castle\MON_07_Loa_Castle.csv,..\Map\07_Loa_Castle\NPC_07_Loa_Castle.csv
8,..\Map\08_North_Morte\MON_08_North_Morte.csv,..\Map\08_North_Morte\NPC_08_North_Morte.csv
10,..\Map\10_Castor_Dungeon\MON_10_Castor_Dungeon.csv,..\Map\10_Castor_Dungeon\NPC_10_Castor_Dungeon.csv
11,..\Map\11_Crevasse\MON_11_Crevasse.csv,..\Map\11_Crevasse\NPC_11_Crevasse.csv
12,..\Map\12_Crespo\MON_12_Crespo.csv,..\Map\12_Crespo\NPC_12_Crespo.csv
13,..\Map\13_Draco\MON_13_Draco.csv,..\Map\13_Draco\NPC_13_Draco.csv
14,..\Map\14_Norak_2nd\MON_14_Norak_2nd.csv,..\Map\14_Norak_2nd\NPC_14_Norak_2nd.csv
15,..\Map\15_Castor_2nd\MON_15_Castor_2nd.csv,..\Map\15_Castor_2nd\NPC_15_Castor_2nd.csv
16,,..\Map\16_Prison\NPC_16_Prison.csv
17,..\Map\17_Requies\MON_17_Requies.csv,..\Map\17_Requies\NPC_17_Requies.csv
18,..\Map\18_Avalon\MON_18_Avalon.csv,..\Map\18_Avalon\NPC_18_Avalon.csv
19,..\Map\19_Python\MON_19_Python.csv,..\Map\19_Python\NPC_19_Python.csv
20,..\Map\20_Under_Python\MON_20_Under_Python.csv,..\Map\20_Under_Python\NPC_20__Under_Python.csv
21,..\Map\21_Under_Python2\MON_21_Under_Python2.csv,..\Map\21_Under_Python2\NPC_21_Under_Python2.csv
22,,
