Item Index,Rank,Type,Code,Attribute,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,Name,StackNumber,StackDrop_Min,StackDrop_Max,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,Level 1 Item LV,Level 1 Melee Min Attack,Level 1 Melee Max Attack,Level 1 Magic Min Attack,Level 1 Magic Max Attack,Level 1 Defance Min,Level 1 Defance Max,Level 1 Blocking Rate,Level 1 Critical Bonus,Level 1 Str Request,Level 1 Dex Request,Level 1 Spr Request,Level 1 Appraisal Addition,Level 2 Item LV,Level 2 Melee Min Attack,Level 2 Melee Max Attack,Level 2 Magic Min Attack,Level 2 Magic Max Attack,Level 2 Defance Min,Level 2 Defance Max,Level 2 Blocking Rate,Level 2 Critical Bonus,Level 2 Str Request,Level 2 Dex Request,Level 2 Spr Request,Level 2 Appraisal Addition,Level 3 Item LV,Level 3 Melee Min Attack,Level 3 Melee Max Attack,Level 3 Magic Min Attack,Level 3 Magic Max Attack,Level 3 Defance Min,Level 3 Defance Max,Level 3 Blocking Rate,Level 3 Critical Bonus,Level 3 Str Request,Level 3 Dex Request,Level 3 Spr Request,Level 3 Appraisal Addition,Level 4 Item LV,Level 4 Melee Min Attack,Level 4 Melee Max Attack,Level 4 Magic Min Attack,Level 4 Magic Max Attack,Level 4 Defance Min,Level 4 Defance Max,Level 4 Blocking Rate,Level 4 Critical Bonus,Level 4 Str Request,Level 4 Dex Request,Level 4 Spr Request,Level 4 Appraisal Addition,Level 5 Item LV,Level 5 Melee Min Attack,Level 5 Melee Max Attack,Level 5 Magic Min Attack,Level 5 Magic Max Attack,Level 5 Defance Min,Level 5 Defance Max,Level 5 Blocking Rate,Level 5 Critical Bonus,Level 5 Str Request,Level 5 Dex Request,Level 5 Spr Request,Level 5 Appraisal Addition,Level 6 Item LV,Level 6 Melee Min Attack,Level 6 Melee Max Attack,Level 6 Magic Min Attack,Level 6 Magic Max Attack,Level 6 Defance Min,Level 6 Defance Max,Level 6 Blocking Rate,Level 6 Critical Bonus,Level 6 Str Request,Level 6 Dex Request,Level 6 Spr Request,Level 6 Appraisal Addition,Level 7 Item LV,Level 7 Melee Min Attack,Level 7 Melee Max Attack,Level 7 Magic Min Attack,Level 7 Magic Max Attack,Level 7 Defance Min,Level 7 Defance Max,Level 7 Blocking Rate,Level 7 Critical Bonus,Level 7 Str Request,Level 7 Dex Request,Level 7 Spr Request,Level 7 Appraisal Addition,Level 8 Item LV,Level 8 Melee Min Attack,Level 8 Melee Max Attack,Level 8 Magic Min Attack,Level 8 Magic Max Attack,Level 8 Defance Min,Level 8 Defance Max,Level 8 Blocking Rate,Level 8 Critical Bonus,Level 8 Str Request,Level 8 Dex Request,Level 8 Spr Request,Level 8 Appraisal Addition,Level 9 Item LV,Level 9 Melee Min Attack,Level 9 Melee Max Attack,Level 9 Magic Min Attack,Level 9 Magic Max Attack,Level 9 Defance Min,Level 9 Defance Max,Level 9 Blocking Rate,Level 9 Critical Bonus,Level 9 Str Request,Level 9 Dex Request,Level 9 Spr Request,Level 9 Appraisal Addition
1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,2,16,2,2,¹ß·Î ÆÒÃ÷,0,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,4,0,0,1,0,0,0,0,0,6,0,0,5,4,0,0,2,0,0,0,0,0,6,0,0,5,4,0,0,3,0,0,0,0,0,6,0,0,5,4,0,0,4,0,0,0,0,0,6,0,0,5,4,0,0,5,0,0,0,0,0,6,0,0,5,4,0,0,6,0,0,0,0,0,6,0,0,5,4,0,0,7,0,0,0,0,0,6,0,0,5,4,0,0,8,0,0,0,0,0,6,0,0,5,4,0,0,9,0,0,0,0,0,6,0,0,5,4,0,0
2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,14,76,2,2,°¡µð¾ð ÆÒÃ÷,0,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,14,0,0,1,0,0,0,0,0,18,0,0,21,14,0,0,2,0,0,0,0,0,18,0,0,21,14,0,0,3,0,0,0,0,0,18,0,0,21,14,0,0,4,0,0,0,0,0,18,0,0,21,14,0,0,5,0,0,0,0,0,18,0,0,21,14,0,0,6,0,0,0,0,0,18,0,0,21,14,0,0,7,0,0,0,0,0,18,0,0,21,14,0,0,8,0,0,0,0,0,18,0,0,21,14,0,0,9,0,0,0,0,0,18,0,0,21,14,0,0
3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,27,644,2,2,½ã´õ ÆÒÃ÷,0,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,40,26,0,0,1,0,0,0,0,0,30,0,0,40,26,0,0,2,0,0,0,0,0,30,0,0,40,26,0,0,3,0,0,0,0,0,30,0,0,40,26,0,0,4,0,0,0,0,0,30,0,0,40,26,0,0,5,0,0,0,0,0,30,0,0,40,26,0,0,6,0,0,0,0,0,30,0,0,40,26,0,0,7,0,0,0,0,0,30,0,0,40,26,0,0,8,0,0,0,0,0,30,0,0,40,26,0,0,9,0,0,0,0,0,30,0,0,40,26,0,0
4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,40,2677,2,2,Å¸ÀÌÅº ÆÒÃ÷,0,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,58,38,0,0,1,0,0,0,0,0,42,0,0,58,38,0,0,2,0,0,0,0,0,42,0,0,58,38,0,0,3,0,0,0,0,0,42,0,0,58,38,0,0,4,0,0,0,0,0,42,0,0,58,38,0,0,5,0,0,0,0,0,42,0,0,58,38,0,0,6,0,0,0,0,0,42,0,0,58,38,0,0,7,0,0,0,0,0,42,0,0,58,38,0,0,8,0,0,0,0,0,42,0,0,58,38,0,0,9,0,0,0,0,0,42,0,0,58,38,0,0
5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,52,7058,2,2,·¹µð¾ð½º ÆÒÃ÷,0,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,75,49,0,0,1,0,0,0,0,0,53,0,0,75,49,0,0,2,0,0,0,0,0,53,0,0,75,49,0,0,3,0,0,0,0,0,53,0,0,75,49,0,0,4,0,0,0,0,0,53,0,0,75,49,0,0,5,0,0,0,0,0,53,0,0,75,49,0,0,6,0,0,0,0,0,53,0,0,75,49,0,0,7,0,0,0,0,0,53,0,0,75,49,0,0,8,0,0,0,0,0,53,0,0,75,49,0,0,9,0,0,0,0,0,53,0,0,75,49,0,0
6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,64,8000,2,2,¾ÆÄþ¶ó ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,91,59,0,0,1,0,0,0,0,0,64,0,0,91,59,0,0,2,0,0,0,0,0,64,0,0,91,59,0,0,3,0,0,0,0,0,64,0,0,91,59,0,0,4,0,0,0,0,0,64,0,0,91,59,0,0,5,0,0,0,0,0,64,0,0,91,59,0,0,6,0,0,0,0,0,64,0,0,91,59,0,0,7,0,0,0,0,0,64,0,0,91,59,0,0,8,0,0,0,0,0,64,0,0,91,59,0,0,9,0,0,0,0,0,64,0,0,91,59,0,0
20,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,2,16,2,2,¹ß·Î ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,4,0,0,1,0,0,0,0,0,6,0,0,5,4,0,0,2,0,0,0,0,0,6,0,0,5,4,0,0,3,0,0,0,0,0,6,0,0,5,4,0,0,4,0,0,0,0,0,6,0,0,5,4,0,0,5,0,0,0,0,0,6,0,0,5,4,0,0,6,0,0,0,0,0,6,0,0,5,4,0,0,7,0,0,0,0,0,6,0,0,5,4,0,0,8,0,0,0,0,0,6,0,0,5,4,0,0,9,0,0,0,0,0,6,0,0,5,4,0,0
21,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,14,76,2,2,°¡µð¾ð ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,14,0,0,1,0,0,0,0,0,18,0,0,21,14,0,0,2,0,0,0,0,0,18,0,0,21,14,0,0,3,0,0,0,0,0,18,0,0,21,14,0,0,4,0,0,0,0,0,18,0,0,21,14,0,0,5,0,0,0,0,0,18,0,0,21,14,0,0,6,0,0,0,0,0,18,0,0,21,14,0,0,7,0,0,0,0,0,18,0,0,21,14,0,0,8,0,0,0,0,0,18,0,0,21,14,0,0,9,0,0,0,0,0,18,0,0,21,14,0,0
22,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,27,644,2,2,½ã´õ ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,40,26,0,0,1,0,0,0,0,0,30,0,0,40,26,0,0,2,0,0,0,0,0,30,0,0,40,26,0,0,3,0,0,0,0,0,30,0,0,40,26,0,0,4,0,0,0,0,0,30,0,0,40,26,0,0,5,0,0,0,0,0,30,0,0,40,26,0,0,6,0,0,0,0,0,30,0,0,40,26,0,0,7,0,0,0,0,0,30,0,0,40,26,0,0,8,0,0,0,0,0,30,0,0,40,26,0,0,9,0,0,0,0,0,30,0,0,40,26,0,0
23,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,40,2677,2,2,Å¸ÀÌÅº ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,58,38,0,0,1,0,0,0,0,0,42,0,0,58,38,0,0,2,0,0,0,0,0,42,0,0,58,38,0,0,3,0,0,0,0,0,42,0,0,58,38,0,0,4,0,0,0,0,0,42,0,0,58,38,0,0,5,0,0,0,0,0,42,0,0,58,38,0,0,6,0,0,0,0,0,42,0,0,58,38,0,0,7,0,0,0,0,0,42,0,0,58,38,0,0,8,0,0,0,0,0,42,0,0,58,38,0,0,9,0,0,0,0,0,42,0,0,58,38,0,0
24,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,52,7058,2,2,·¹µð¾ð½º ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,75,49,0,0,1,0,0,0,0,0,53,0,0,75,49,0,0,2,0,0,0,0,0,53,0,0,75,49,0,0,3,0,0,0,0,0,53,0,0,75,49,0,0,4,0,0,0,0,0,53,0,0,75,49,0,0,5,0,0,0,0,0,53,0,0,75,49,0,0,6,0,0,0,0,0,53,0,0,75,49,0,0,7,0,0,0,0,0,53,0,0,75,49,0,0,8,0,0,0,0,0,53,0,0,75,49,0,0,9,0,0,0,0,0,53,0,0,75,49,0,0
25,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,64,8000,2,2,¾ÆÄþ¶ó ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,91,59,0,0,1,0,0,0,0,0,64,0,0,91,59,0,0,2,0,0,0,0,0,64,0,0,91,59,0,0,3,0,0,0,0,0,64,0,0,91,59,0,0,4,0,0,0,0,0,64,0,0,91,59,0,0,5,0,0,0,0,0,64,0,0,91,59,0,0,6,0,0,0,0,0,64,0,0,91,59,0,0,7,0,0,0,0,0,64,0,0,91,59,0,0,8,0,0,0,0,0,64,0,0,91,59,0,0,9,0,0,0,0,0,64,0,0,91,59,0,0
26,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,2,16,2,2,¹ß·Î ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,4,0,0,1,0,0,0,0,0,6,0,0,5,4,0,0,2,0,0,0,0,0,6,0,0,5,4,0,0,3,0,0,0,0,0,6,0,0,5,4,0,0,4,0,0,0,0,0,6,0,0,5,4,0,0,5,0,0,0,0,0,6,0,0,5,4,0,0,6,0,0,0,0,0,6,0,0,5,4,0,0,7,0,0,0,0,0,6,0,0,5,4,0,0,8,0,0,0,0,0,6,0,0,5,4,0,0,9,0,0,0,0,0,6,0,0,5,4,0,0
27,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,14,76,2,2,°¡µð¾ð ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,14,0,0,1,0,0,0,0,0,18,0,0,21,14,0,0,2,0,0,0,0,0,18,0,0,21,14,0,0,3,0,0,0,0,0,18,0,0,21,14,0,0,4,0,0,0,0,0,18,0,0,21,14,0,0,5,0,0,0,0,0,18,0,0,21,14,0,0,6,0,0,0,0,0,18,0,0,21,14,0,0,7,0,0,0,0,0,18,0,0,21,14,0,0,8,0,0,0,0,0,18,0,0,21,14,0,0,9,0,0,0,0,0,18,0,0,21,14,0,0
28,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,27,644,2,2,½ã´õ ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,40,26,0,0,1,0,0,0,0,0,30,0,0,40,26,0,0,2,0,0,0,0,0,30,0,0,40,26,0,0,3,0,0,0,0,0,30,0,0,40,26,0,0,4,0,0,0,0,0,30,0,0,40,26,0,0,5,0,0,0,0,0,30,0,0,40,26,0,0,6,0,0,0,0,0,30,0,0,40,26,0,0,7,0,0,0,0,0,30,0,0,40,26,0,0,8,0,0,0,0,0,30,0,0,40,26,0,0,9,0,0,0,0,0,30,0,0,40,26,0,0
29,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,40,2677,2,2,Å¸ÀÌÅº ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,58,38,0,0,1,0,0,0,0,0,42,0,0,58,38,0,0,2,0,0,0,0,0,42,0,0,58,38,0,0,3,0,0,0,0,0,42,0,0,58,38,0,0,4,0,0,0,0,0,42,0,0,58,38,0,0,5,0,0,0,0,0,42,0,0,58,38,0,0,6,0,0,0,0,0,42,0,0,58,38,0,0,7,0,0,0,0,0,42,0,0,58,38,0,0,8,0,0,0,0,0,42,0,0,58,38,0,0,9,0,0,0,0,0,42,0,0,58,38,0,0
30,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1,0,1,52,7058,2,2,·¹µð¾ð½º ÆÒÃ÷,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,75,49,0,0,1,0,0,0,0,0,53,0,0,75,49,0,0,2,0,0,0,0,0,53,0,0,75,49,0,0,3,0,0,0,0,0,53,0,0,75,49,0,0,4,0,0,0,0,0,53,0,0,75,49,0,0,5,0,0,0,0,0,53,0,0,75,49,0,0,6,0,0,0,0,0,53,0,0,75,49,0,0,7,0,0,0,0,0,53,0,0,75,49,0,0,8,0,0,0,0,0,53,0,0,75,49,0,0,9,0,0,0,0,0,53,0,0,75,49,0,0
