Index,Description,IconIndex,OptionCount,Option0_code,Option0_Value,Option1_code,Option1_Value,Option2_code,Option2_Value,SendToOthers
1,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,138,RATING_BLOCKING_ADD,60,DEFENSE_MUL,5,1
2,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,153,RATING_BLOCKING_ADD,65,DEFENSE_MUL,10,1
3,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,168,RATING_BLOCKING_ADD,70,DEFENSE_MUL,15,1
4,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,184,RATING_BLOCKING_ADD,75,DEFENSE_MUL,20,1
5,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,199,RATING_BLOCKING_ADD,80,DEFENSE_MUL,25,1
6,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,220,RATING_BLOCKING_ADD,85,DEFENSE_MUL,30,1
7,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,236,RATING_BLOCKING_ADD,90,DEFENSE_MUL,35,1
8,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,257,RATING_BLOCKING_ADD,95,DEFENSE_MUL,40,1
9,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,278,RATING_BLOCKING_ADD,100,DEFENSE_MUL,45,1
10,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,300,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
11,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,315,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
12,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,330,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
13,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,345,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
14,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,360,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
15,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,375,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
