상태이상 아이콘 인덱스,아이콘 이미지 인덱스,시작 EFFECT ID,시작 SCENEID,시작 Time,진행중EFFECT ID,진행중SCENE ID,종료시 EFFECT ID,종료시 SCENE ID,종료시 Time,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,6,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,13,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,15,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,16,0,0,0,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
17,17,0,0,0,6,3,0,0,0
18,18,0,0,0,6,3,0,0,0
19,19,0,0,0,6,3,0,0,0
20,20,0,0,0,6,3,0,0,0
21,21,0,0,0,6,3,0,0,0
22,22,0,0,0,6,3,0,0,0
23,23,0,0,0,6,3,0,0,0
24,24,0,0,0,6,3,0,0,0
25,25,0,0,0,6,3,0,0,0
26,26,0,0,0,6,3,0,0,0
