index,name
1,Sword Class\This skill increases your sword fighting abilities and increases\attack power.
2,Sword Class\This is a basic skill of Azure Knight¢¬a spinning attack the slices\your enemies.
3,Sword Class\Reduces the damage by using the sword to block\an enemy's attack.
4,Sword Class\Stabs the enemy's vital organs; decreasing the enemy's max HP.
21,Mace Class\This skill increases your mace fighting abilities and\it increases the power of your attacks.
22,Mace Class\Strikes the enemy with the full weight of the mace and\reduces their defense.
23,Mace Class\An upper body attack with the mace that inflicts great damage.
24,Mace Class\Strikes the mace down to make the ground shake.
41,Axe Class\This skill increases your axe fighting abilities and increases\your attack power.
42,Axe Class\This brutal axe skill delivers two downward chops to the enemy.
43,Axe Class\Taking a low stance¢¬you deliver a slicing cut to the enemy's\achilles' tendon¢¬causing some damage over time.
44,Axe Class\A slicing cut to the enemy's wrist decreases their attack speed.
61,Dual Weapon\This skill increases your dual weapon abilities¢¬increasing your\overall attack power.
62,Dual Weapon\Use dual weapons to stab and slash the enemy.
63,Dual Weapon\A big spinning move hits the enemy with multiple slashing attacks.
64,Dual Weapon\Uses the sword's spirit to slash the enemy at a distance.
81,All Weapon\Meditiating on your strength¢¬you can increase your max HP.
82,All Weapon\The Azure Knight must train hard to unite body and earth.\With this shout he increases HP recovery rate for a\period of time.
83,All Weapon\Strength is concentrated to deliver a mighty blow.
84,All Weapon\Use the force of a spinning attack to deliver blows to multiple\enemies in range of your weapons.
85,All Weapon\Unifies the Azure Knight's body and spirit to attack nearby\enemies 4 times.
101,All Weapon\Increase the rate of blocking using this skill.  The blocking rate\increases as this skill is increased.
102,All Weapon\Use the power of the wind to increase movement speed\for a short time.
103,All Weapon\Forcing extra concentration and maximum body performance¢¬\you increase your critical rate for a short time.
104,All Weapon\You go into a berserk state where you feel no pain and fight like\a madman; however¢¬enemies may get through your defense\more easily and your attack speed decreases slightly.
141,Shield Class\Reinforces your shield and increases its maximum defense.
142,Shield Class\Strikes the enemy with the force of your body behind the shield.
143,Shield Class\This skill first strikes the enemy¢¬then blocks his vision¢¬delivering\a powerful blow. 
161,Two-Hand Class\Increases the attack power of two-handed weapons.
162,Two-Hand Class\With the full weight of a two-handed weapon¢¬you strike\the enemy 3 times in a row.
163,Two-Hand Class\In a berserker mode¢¬your attack power increases and\you smash the enemy twice.
164,Two-Hand Class\Your spirit infuses the weapon and your attack affects multiple\enemies¢¬damaging their armor and lowering their defense.
121,Dual Weapon\Increases the critical rate of dual-wielding Knights.
122,Dual Weapon\Drawing from the natural forces of the heavens¢¬you strike your\enemy 7 times¢¬causing critical damage.  The enemy will suffer\bleeding damage for a time after the attack.
201,Bow\This skill increases your archery skill with the bow and\increases your attack power.
202,Crossbow\This skill increases your archery skill with the crossbow and\increases your attack power.
203,Bow\Crossbow\Randomly fires arrows at multiple enemies with a low chance of\piercing¢¬so it is good for emergencies.
204,Bow\Fires a strong shot at enemies directly ahead.
205,Bow\Crossbow\The basic skill of all Segita Hunters.  Shoots an arrow or a bolt\using the Hunter's concentrated strength.
206,Bow\This skill draws upon the tri-force of the three realms to\concentrate gravity and fire multiple arrows into an area¢¬\damaging multiple enemies with one shot.
207,Crossbow\Fires piercing bolts.  Requires good basic skills to master. 
208,Crossbow\This expert Segita Hunter skill fires bolts that can chase the enemy. 
209,Bow\Crossbow\This shot seeks a weak point and inflicts major damage to the enemy. 
210,Bow\Crossbow\The arrow or bolt explodes on impact and does damage to\multiple enemies.
221,Bow\Crossbow\With increased concentration¢¬you can fire long-range attacks\with an increased rate of critical hits.
241,Bow\Crossbow\Shoots an arrow/bolt that has a fire element.  The shot causes a\burning effect.
242,Bow\Crossbow\Shoots an arrow/bolt that has an ice element.  The shot freezes\the enemy temporarily.
243,Bow\Crossbow\Shoots a poisoned arrow/bolt that does poison damage over time. 
