index,name
1,Sword Mastery
2,Sharpen Blade
3,Sword Defense
4,Faedol Launch
21,Mace Mastery
22,Armor Breaker
23,Mace Bash
24,Heavy Blow
41,Axe Mastery
42,Bleed Slash
43,Archilles' Tendon
44,Wrist Chop
61,Dual Mastery
62,Cross Piercing
63,Cyclone Slash
64,Energetic Blade
81,Strength
82,Strengthen Health
83,Jumping Crash
84,Whirlwind
85,Soul Knight
101,Agility
102,Wind Rush
103,Attack Acceleration
104,Insensibility
141,Shield Mastery
142,Shield Shove
143,Blind Jab
161,Two-hand Mastery
162,Triple Attack
163,Berserk
164,Genocide
121,Dual Advance
122,Spout Anger
201,Bow Mastery
202,Crossbow Mastery
203,Multiple Shot
204,Strike Shot
205,Skull Shot
206,Triangle Shot
207,Piercing Shot
208,Guide Shot
209,Vulnerable Shot
210,Wonder Firing
221,Critical Fire
241,Fire Arrow
242,Ice Arrow
243,Poison Arrow
244,Explosion Arrow
245,Slow Arrow
281,Combat Mastery
282,Violent Step
283,Rolling Attack
341,Wind Moving
342,Speed
361,Cure Wounds
401,Energy Mastery
402,Energy Jab
403,Seize Nimbis
404,Energy Hammer
421,Mana Force
441,Magic Power
461,Fire Mastery
462,Fire Bolt
463,Fire Ball
464,Fire Fury
465,Fire Blaze
466,Flame Burning
501,Ice Mastery
502,Ice Bolt
503,Ice Wave
504,Ice Spike
505,Ice Storm
506,Ice Blanket
541,Lightning Mastery
542,Lightning Bolt
543,Chain Lightning
544,Lightning Circle
545,Lightning Chase
546,Cruelty Lightning
601,Beast Mastery
602,Regulus
603,Grewpain
604,Selaim
641,Libido Mastery
642,Tarantula
643,Aldebaran
644,Tentator
721,Twin Mastery
722,Evolt Shot
723,Spirit Dagger
724,Blood Bats
725,Devil Swing
726,Blade Spin
727,Vicious Mastery
728,Vicious Thorn
729,Blade Dance
730,Summon Ghost
731,Poison Sword
732,Infected Earth
741,Skin of the Foreign Realm
801,Healing Mastery
802,Wound Healing
803,Fast Healing
804,Hyper Heal
805,Recover
806,Self Healing
821,Rising Guard
822,Magic Shield
823,Increase Attack
824,Dark Circle
861,Curse Mastery
862,Backdraft
863,Vampire
864,Curse Field
881,Paralyze
882,Anti Magic
883,Decrease Attack
884,Diminish
921,Blood Mastery
922,Death Scythe
923,Evil Spear
924,Blood Hit
211,Crow Wings
645,Anadema
605,Bregon
467,Blast Phoenix
507,Freezing Spirit
547,Thunder Spear
5,Air Smashing
25,Solar Evil
45,Sonic Massacre
65,Igen Dash
181,Fishing Mastery
381,Fishing Mastery
581,Fishing Mastery
781,Fishing Mastery
981,Fishing Mastery
733,Vicious Mirror
734,Venom Light
735,Hell Burst
144,Power Strike
212,Wind Shaft
405,Energy Bolt
736,Cross Hack
926,Ruins Skull
925,Curse Cry
885,Dispel
927,Dread Nail
928,Evil Crow
1001,Wild Bash
1002,Martial Arts Mastery
1003,Double Smash
1004,Hard Blow
1005,Shock Wave
1006,Triple Ravage
1007,Mad Bloods
1008,Spirit Shout
1021,Instinct Speed
1022,Instinct Power
1023,Bull's Cry
1101,Spirit Mastery
1102,Chain Burst
1103,Earthquake
1104,Violent Gale
1105,Outrage
1121,Defensive
1122,Magical Resist
1123,Physical Resist
1124,Resistance
1141,Burn Knuckle
1142,Freezing Knuckle
1143,Lightning Knuckle
1181,Fishing Mastery
468,Infernal Pillar
508,Gracious Eddy
548,Imitid Flash
841,Great Guard
842,Divine Shield
843,Amazing Attack
213,Fiore Novas
214,Demolition Bomb
284,Silent Killer
285,Dead Spin
362,Terrace Magic
1009,Carnage
1106,Tornado
1107,Dead Spark
737,Palpus
738,Dark Avatar
606,Agareth
646,Musfel
621,Boomerang
622,Meteor
661,Sword Vigor
662,Force Wave
86,Divide Spear
123,Fatal Bash
124,Brandish
145,Bounce Defenser
929,Spirit Emission
930,Rise Fierce
406,Spoiled Divinity
407,Aqua Circle
422,Urzer Gain
